tolerance,0.025
../data/train/n002263_0103_01.jpg,unknown_person
../data/train/n002475_0103_01.jpg,unknown_person
../data/train/n000624_0103_01.jpg,unknown_person
../data/train/n003205_0103_01.jpg,unknown_person
../data/train/n004709_0103_01.jpg,unknown_person
../data/train/n005552_0103_01.jpg,unknown_person
../data/train/n002749_0103_01.jpg,unknown_person
../data/train/n005328_0103_01.jpg,unknown_person
../data/train/n004798_0103_01.jpg,unknown_person
../data/train/n005448_0103_01.jpg,unknown_person
../data/train/n002743_0103_01.jpg,unknown_person
../data/train/n005565_0103_01.jpg,unknown_person
../data/train/n002803_0103_01.jpg,unknown_person
../data/train/n003554_0103_01.jpg,unknown_person
../data/train/n002093_0103_01.jpg,unknown_person
../data/train/n009294_0103_01.jpg,unknown_person
../data/train/n002474_0103_01.jpg,unknown_person
../data/train/n008778_0103_01.jpg,no_persons_found
../data/train/n003917_0103_01.jpg,unknown_person
../data/train/n004208_0103_01.jpg,unknown_person
../data/train/n004085_0103_01.jpg,unknown_person
../data/train/n001277_0103_01.jpg,unknown_person
../data/train/n005612_0103_01.jpg,unknown_person
../data/train/n002329_0103_01.jpg,unknown_person
../data/train/n003134_0103_01.jpg,unknown_person
../data/train/n006909_0103_01.jpg,unknown_person
../data/train/n000106_0103_01.jpg,unknown_person
../data/train/n005282_0103_01.jpg,unknown_person
../data/train/n009028_0103_01.jpg,unknown_person
../data/train/n005630_0103_01.jpg,unknown_person
../data/train/n004180_0103_01.jpg,unknown_person
../data/train/n009283_0103_01.jpg,unknown_person
../data/train/n008958_0103_01.jpg,unknown_person
../data/train/n000836_0103_01.jpg,unknown_person
../data/train/n004662_0103_01.jpg,unknown_person
../data/train/n005695_0103_01.jpg,unknown_person
../data/train/n000998_0103_01.jpg,unknown_person
../data/train/n007241_0103_01.jpg,unknown_person
../data/train/n004661_0103_01.jpg,unknown_person
../data/train/n002372_0103_01.jpg,unknown_person
../data/train/n005112_0103_01.jpg,unknown_person
../data/train/n008858_0103_01.jpg,unknown_person
../data/train/n008858_0103_01.jpg,unknown_person
../data/train/n005723_0103_01.jpg,unknown_person
../data/train/n001368_0103_01.jpg,unknown_person
../data/train/n009286_0103_01.jpg,unknown_person
../data/train/n000410_0103_01.jpg,unknown_person
../data/train/n001655_0103_01.jpg,unknown_person
../data/train/n009285_0103_01.jpg,unknown_person
../data/train/n004586_0103_01.jpg,unknown_person
../data/train/n008630_0103_01.jpg,unknown_person
../data/train/n007169_0103_01.jpg,unknown_person
../data/train/n005668_0103_01.jpg,unknown_person
../data/train/n004678_0103_01.jpg,unknown_person
../data/train/n004333_0103_01.jpg,unknown_person
../data/train/n002503_0103_01.jpg,unknown_person
../data/train/n005619_0103_01.jpg,unknown_person
../data/train/n004353_0103_01.jpg,unknown_person
../data/train/n004634_0103_01.jpg,unknown_person
../data/train/n001242_0103_01.jpg,unknown_person
../data/train/joab.jpg,joab
../data/train/n004712_0103_01.jpg,unknown_person
../data/train/n003298_0103_01.jpg,unknown_person
../data/train/n004999_0103_01.jpg,unknown_person
../data/train/n000736_0103_01.jpg,unknown_person
../data/train/n005301_0103_01.jpg,unknown_person
../data/train/n007296_0103_01.jpg,no_persons_found
../data/train/n001935_0103_01.jpg,unknown_person
